max,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
2,1,unary::BE::NoTable,write,0.750442,6.874862363636363,0.02760835173375163,6.852745,6.866804,6.894927
2,1,unary::BE::Table,write,0.750437,7.992019,0.07787275271877832,7.939078,7.965278,7.988159
2,1,unary::LE::NoTable,write,0.750566,3.8741543636363636,0.07941753787706177,3.790601,3.877125,3.924604
2,1,unary::LE::Table,write,0.749398,7.958697,0.03999213738974207,7.93685,7.962756,7.96994
2,1,gamma::BE::NoTable,write,0.759795,12.301567727272726,0.08370791196307634,12.246612,12.275285,12.317994
2,1,gamma::BE::Table,write,0.760002,9.120024454545455,0.058655120714842364,9.072422,9.120342,9.148394
2,1,gamma::LE::NoTable,write,0.758925,12.370332545454547,0.04880925587501568,12.327735,12.350471,12.392892
2,1,gamma::LE::Table,write,0.759902,8.677615818181819,0.08076756377261628,8.600827,8.687513,8.736546
2,1,zeta3::BE::NoTable,write,0.257472,24.099962,0.12306545097873674,23.993558,24.081779,24.13526
2,1,zeta3::BE::Table,write,0.257616,22.044418636363638,0.06417562402388119,21.993618,22.052637,22.076007
2,1,zeta3::LE::NoTable,write,0.256601,23.916129999999995,0.11915790126382705,23.812626,23.902169,23.973243
2,1,zeta3::LE::Table,write,0.257187,22.043919272727273,0.08825105603344421,21.957473,22.018317,22.106142
2,1,delta::BE::Table,write,0.378397,19.33617790909091,0.043624597745892404,19.30005,19.325633,19.360202
2,1,delta::BE::NoTable,write,0.379456,22.905465272727273,0.03280755139321101,22.883619,22.898041,22.920448
2,1,delta::LE::Table,write,0.379585,19.192085727272726,0.039840261219250855,19.176434,19.193655,19.215405
2,1,delta::LE::NoTable,write,0.378522,22.84374181818182,0.05030681433726036,22.802783,22.825131,22.853163
2,1,delta_gamma::BE::Table,write,0.379555,15.180333363636363,0.047105535930021654,15.150593,15.181472,15.213039
2,1,delta_gamma::BE::NoTable,write,0.378019,15.734929545454545,0.12273660355033732,15.616801,15.723088,15.847381
2,1,delta_gamma::LE::Table,write,0.378672,14.505764909090908,0.07289915339488454,14.435591,14.495132,14.537196
2,1,delta_gamma::LE::NoTable,write,0.377809,14.636536636363637,0.09947344698086288,14.599865,14.659511,14.680233
2,2,unary::BE::NoTable,write,0.750012,6.859645363636364,0.016760282725972984,6.845343,6.855843,6.861961
2,2,unary::BE::Table,write,0.749857,7.9925250909090915,0.08101342535093119,7.938937,7.973753,7.975726
2,2,unary::LE::NoTable,write,0.749912,3.890764909090909,0.0791898729389744,3.822624,3.879113,3.953766
2,2,unary::LE::Table,write,0.749864,7.814756181818182,0.046145087944044885,7.77583,7.803828,7.828893
2,2,gamma::BE::NoTable,write,0.759938,12.328959090909091,0.0839553985976537,12.304881,12.330812,12.348462
2,2,gamma::BE::Table,write,0.76013,9.139707454545455,0.06316014585379569,9.081688,9.140249,9.162568
2,2,gamma::LE::NoTable,write,0.760521,12.202961181818182,0.06652554836274294,12.144399,12.180314,12.256186
2,2,gamma::LE::Table,write,0.759658,8.702845454545454,0.08197915013875541,8.662948,8.677368,8.724533
2,2,zeta3::BE::NoTable,write,0.257162,24.141983727272724,0.06863810566018082,24.083489,24.144465,24.156811
2,2,zeta3::BE::Table,write,0.256155,22.13280790909091,0.07814482047257477,22.059632,22.131162,22.194346
2,2,zeta3::LE::NoTable,write,0.256056,23.746133454545458,0.04909332374236657,23.706552,23.742183,23.772106
2,2,zeta3::LE::Table,write,0.257336,21.960394636363638,0.09079639501133577,21.881948,21.932733,21.973211
2,2,delta::BE::Table,write,0.379561,19.41196109090909,0.04035221006699535,19.390639,19.423293,19.427192
2,2,delta::BE::NoTable,write,0.37961,22.921584909090907,0.019079640397316248,22.909469,22.916744,22.932648
2,2,delta::LE::Table,write,0.378968,19.18306045454546,0.055332719946453945,19.142442,19.167442,19.193388
2,2,delta::LE::NoTable,write,0.380407,22.83551572727273,0.02479415988530728,22.814267,22.837204,22.842954
2,2,delta_gamma::BE::Table,write,0.378292,15.081375454545455,0.0398236150176341,15.059913,15.071912,15.092579
2,2,delta_gamma::BE::NoTable,write,0.379058,15.266195545454545,0.1198279038466114,15.179258,15.242247,15.310595
2,2,delta_gamma::LE::Table,write,0.379452,14.469004454545455,0.0844874087818579,14.387564,14.44714,14.524977
2,2,delta_gamma::LE::NoTable,write,0.378364,14.776503545454545,0.09340094988206932,14.702638,14.728333,14.847704
4,1,unary::BE::NoTable,write,0.937438,6.8657983636363635,0.03349540596640906,6.850907,6.857171,6.858008
4,1,unary::BE::Table,write,0.937623,7.265502545454546,0.03287457802121153,7.235045,7.252696,7.281147
4,1,unary::LE::NoTable,write,0.937565,3.882455181818182,0.08768075442971299,3.819112,3.85001,3.919756
4,1,unary::LE::Table,write,0.93742,6.960735636363637,0.03683124844007532,6.935269,6.949456,6.961397
4,1,gamma::BE::NoTable,write,0.865316,12.30719027272727,0.08786009844188775,12.221065,12.320004,12.344985
4,1,gamma::BE::Table,write,0.865338,8.057522545454544,0.02990736336544431,8.031294,8.053505,8.071546
4,1,gamma::LE::NoTable,write,0.865727,12.378617727272726,0.052938306820469766,12.335979,12.357628,12.411034
4,1,gamma::LE::Table,write,0.86507,7.347047727272727,0.07363086535290878,7.290747,7.329444,7.359485
4,1,zeta3::BE::NoTable,write,0.338476,24.016236727272727,0.09410046091395138,23.952019,24.021283,24.045535
4,1,zeta3::BE::Table,write,0.337804,21.750984181818183,0.06834465688525844,21.721174,21.753304,21.793075
4,1,zeta3::LE::NoTable,write,0.338605,23.791279454545457,0.08424689610111875,23.721592,23.80127,23.832733
4,1,zeta3::LE::Table,write,0.338603,21.84054181818182,0.09358181030074061,21.782107,21.806253,21.906664
4,1,delta::BE::Table,write,0.476725,18.72235272727273,0.06492396885756624,18.699037,18.725463,18.729908
4,1,delta::BE::NoTable,write,0.477178,21.115127272727275,0.0390886666134592,21.083223,21.126979,21.143393
4,1,delta::LE::Table,write,0.477026,18.635196636363638,0.043832548083068704,18.584842,18.644173,18.664967
4,1,delta::LE::NoTable,write,0.477145,20.397121181818182,0.06271563514916817,20.368727,20.391468,20.413871
4,1,delta_gamma::BE::Table,write,0.47756,14.867636,0.03292989996340704,14.837556,14.874382,14.88886
4,1,delta_gamma::BE::NoTable,write,0.47662,15.781991454545453,0.101501955034732,15.639982,15.818609,15.844074
4,1,delta_gamma::LE::Table,write,0.47695,14.35991790909091,0.07782563164851868,14.292339,14.367158,14.389193
4,1,delta_gamma::LE::NoTable,write,0.476703,14.592647,0.08316433631671695,14.529642,14.602523,14.615092
