max,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
2,1,unary::BE::NoTable,write,0.749654,2.7245927272727273,0.07284024801178395,2.677541,2.718801,2.735548
2,1,unary::BE::Table,write,0.749916,4.575168545454546,0.05438303215225054,4.528,4.567259,4.613173
2,1,unary::LE::NoTable,write,0.750587,2.205811454545455,0.04153290205454862,2.174461,2.197389,2.226079
2,1,unary::LE::Table,write,0.749458,4.517837090909091,0.05215407815589211,4.471929,4.503368,4.53611
2,1,gamma::BE::NoTable,write,0.75942,7.41675009090909,0.12363070060503142,7.334736,7.39352,7.432783
2,1,gamma::BE::Table,write,0.759773,5.2009169090909095,0.06548225088900732,5.151841,5.174795,5.231686
2,1,gamma::LE::NoTable,write,0.760229,7.29045090909091,0.07035354447994008,7.235258,7.301671,7.337436
2,1,gamma::LE::Table,write,0.759922,5.053348909090909,0.029747838054065508,5.031461,5.047235,5.057084
2,1,zeta3::BE::NoTable,write,0.256295,14.399937090909091,0.08427941581958726,14.321134,14.449613,14.462074
2,1,zeta3::BE::Table,write,0.256082,13.30100809090909,0.06200706981055397,13.244151,13.313724,13.351608
2,1,zeta3::LE::NoTable,write,0.256702,14.432723181818181,0.07795874088621269,14.356536,14.41795,14.474578
2,1,zeta3::LE::Table,write,0.256212,13.416259636363637,0.03765535173723046,13.38538,13.403419,13.44149
2,1,delta::BE::Table,write,0.379107,11.37904090909091,0.03964886215127622,11.348488,11.379394,11.395893
2,1,delta::BE::NoTable,write,0.379778,13.673870000000003,0.07263780413118194,13.613724,13.691336,13.704086
2,1,delta::LE::Table,write,0.379479,11.510381363636364,0.08080434981518354,11.454362,11.482577,11.524738
2,1,delta::LE::NoTable,write,0.378649,13.763387727272727,0.07687827039949713,13.711386,13.758262,13.790387
2,1,delta_gamma::BE::Table,write,0.379368,8.658195454545455,0.045451251407114195,8.628241,8.638657,8.683014
2,1,delta_gamma::BE::NoTable,write,0.379511,8.984396181818184,0.06603460667228726,8.943846,8.971256,8.985666
2,1,delta_gamma::LE::Table,write,0.379322,8.828467363636365,0.11662272532167374,8.720082,8.815528,8.898429
2,1,delta_gamma::LE::NoTable,write,0.379228,9.088035363636362,0.1512386783493376,8.941727,9.050486,9.18574
2,2,unary::BE::NoTable,write,0.749389,2.8014977272727273,0.20060692811320893,2.714064,2.725409,2.738377
2,2,unary::BE::Table,write,0.749489,4.590619454545454,0.12498273143147691,4.487262,4.559176,4.625772
2,2,unary::LE::NoTable,write,0.749398,2.2327178181818184,0.06841343809489209,2.180888,2.248004,2.256203
2,2,unary::LE::Table,write,0.750181,4.483340454545454,0.05078740804838075,4.429736,4.478027,4.533705
2,2,gamma::BE::NoTable,write,0.760525,7.388145090909091,0.08465353798212402,7.31383,7.397184,7.418334
2,2,gamma::BE::Table,write,0.760107,5.279988727272727,0.07698658031902826,5.208453,5.271845,5.332478
2,2,gamma::LE::NoTable,write,0.759939,7.230952545454546,0.0521977881243328,7.182321,7.226229,7.264871
2,2,gamma::LE::Table,write,0.759765,5.0739837272727275,0.026569424634684556,5.049584,5.066392,5.085598
2,2,zeta3::BE::NoTable,write,0.257001,14.333307636363635,0.11456488607620788,14.228776,14.332116,14.3578
2,2,zeta3::BE::Table,write,0.256787,13.232592545454544,0.062001981407635354,13.186994,13.244803,13.258196
2,2,zeta3::LE::NoTable,write,0.256816,14.350713454545454,0.06731431437720148,14.285019,14.350062,14.357419
2,2,zeta3::LE::Table,write,0.256487,13.376211727272729,0.0526378207681337,13.323128,13.372975,13.413211
2,2,delta::BE::Table,write,0.379032,11.432516181818182,0.08319925062020475,11.346202,11.429778,11.486514
2,2,delta::BE::NoTable,write,0.3787,13.636745363636363,0.057016418470950354,13.594435,13.629888,13.662642
2,2,delta::LE::Table,write,0.379997,11.323635363636363,0.07269011742220902,11.269335,11.342357,11.379398
2,2,delta::LE::NoTable,write,0.37872,13.669555090909089,0.07952132541080335,13.606862,13.698516,13.709588
2,2,delta_gamma::BE::Table,write,0.378351,8.706653363636363,0.05286030327244211,8.662427,8.693587,8.732959
2,2,delta_gamma::BE::NoTable,write,0.378868,8.948254000000002,0.044440158064525344,8.910999,8.936414,8.958683
2,2,delta_gamma::LE::Table,write,0.379238,8.842503454545453,0.10525233744137356,8.741539,8.839476,8.859143
2,2,delta_gamma::LE::NoTable,write,0.379055,9.51073590909091,0.14315841494334425,9.394704,9.462877,9.618986
4,1,unary::BE::NoTable,write,0.937365,2.752286454545454,0.12818911001279604,2.671617,2.716641,2.724684
4,1,unary::BE::Table,write,0.937765,3.930767272727273,0.07510433370064729,3.874978,3.885315,3.942438
4,1,unary::LE::NoTable,write,0.937356,2.4133241818181816,0.2541397890334444,2.16507,2.36611,2.569688
4,1,unary::LE::Table,write,0.937547,3.840095909090909,0.03799462120472986,3.806375,3.84937,3.851419
