n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,1,gamma::BE::NoTable,read_buff,0.607974,2.5778137272727277,0.007818151854382338,2.571734,2.575318,2.576901
1,1,gamma::BE::NoTable,read_unbuff,0.607974,5.863044545454545,0.009715357176796275,5.851984,5.86565,5.868692
1,1,gamma::BE::Table,read_buff,0.608144,5.805559727272728,0.04925666449951907,5.776234,5.785692,5.792859
1,1,gamma::BE::Table,read_unbuff,0.608144,8.255347818181818,0.055105320575817594,8.228568,8.238068,8.251568
1,1,gamma::LE::NoTable,read_buff,0.607979,2.6054874545454547,0.028006880745144194,2.5949,2.595942,2.598359
1,1,gamma::LE::NoTable,read_unbuff,0.607979,5.877942090909092,0.0248530477143332,5.862525,5.870526,5.876775
1,1,gamma::LE::Table,read_buff,0.609276,5.697351454545455,0.05402447849329717,5.674401,5.676317,5.6779
1,1,gamma::LE::Table,read_unbuff,0.609276,7.949582545454545,0.06657162828767765,7.922234,7.930317,7.932275
1,1,zeta3::BE::NoTable,read_buff,0,9.19355990909091,0.011319134025662262,9.183817,9.195901,9.201151
1,1,zeta3::BE::NoTable,read_unbuff,0,9.240211181818182,0.09284032545270207,9.197109,9.217442,9.230734
1,1,zeta3::BE::Table,read_buff,0,9.220392999999998,0.03128530533653087,9.200526,9.210484,9.222317
1,1,zeta3::BE::Table,read_unbuff,0,9.402389090909091,0.05108090509467226,9.367067,9.379067,9.413067
1,1,zeta3::LE::NoTable,read_buff,0,9.086211272727272,0.008704790107646526,9.078984,9.088984,9.091567
1,1,zeta3::LE::NoTable,read_unbuff,0,9.083317363636363,0.0486041706343657,9.059984,9.074193,9.075151
1,1,zeta3::LE::Table,read_buff,0,8.942605272727274,0.008307870775245736,8.938484,8.946193,8.946776
1,1,zeta3::LE::Table,read_unbuff,0,9.197862727272726,0.022349428780579172,9.180484,9.188984,9.207818
1,1,delta::BE::Table,read_buff,0.279317,7.313063636363636,0.0573484955029733,7.281151,7.282901,7.301151
1,1,delta::BE::Table,read_unbuff,0.279317,9.31375681818182,0.057761736081628164,9.282567,9.285776,9.306109
1,1,delta::BE::NoTable,read_buff,0.280018,5.901696,0.008228445454640798,5.894859,5.899776,5.902317
1,1,delta::BE::NoTable,read_unbuff,0.280018,8.518597545454545,0.0976700422999433,8.483818,8.486025,8.490609
1,1,delta::LE::Table,read_buff,0.279145,6.8909422727272736,0.007452463432864546,6.885068,6.889942,6.890192
1,1,delta::LE::Table,read_unbuff,0.279145,8.946415727272727,0.026356373267545707,8.934151,8.937067,8.9399
1,1,delta::LE::NoTable,read_buff,0.280465,5.373029636363635,0.03955639779421939,5.354818,5.356068,5.363776
1,1,delta::LE::NoTable,read_unbuff,0.280465,8.396658181818184,0.03947329303673096,8.38115,8.385526,8.387609
1,1,delta_gamma::BE::Table,read_buff,0.279238,6.67441209090909,0.012895644275913875,6.660442,6.675651,6.679401
1,1,delta_gamma::BE::Table,read_unbuff,0.279238,8.185192363636364,0.03596178759258965,8.153068,8.167401,8.197567
1,1,delta_gamma::BE::NoTable,read_buff,0.279507,5.887215090909091,0.03743483241168453,5.873275,5.876317,5.883901
1,1,delta_gamma::BE::NoTable,read_unbuff,0.279507,7.722188545454546,0.017661035175570612,7.708484,7.721567,7.728442
1,1,delta_gamma::LE::Table,read_buff,0.279741,6.449616545454546,0.06490396513521152,6.422109,6.432942,6.433401
1,1,delta_gamma::LE::Table,read_unbuff,0.279741,7.564968818181818,0.03308745007043674,7.5499,7.553067,7.564776
1,1,delta_gamma::LE::NoTable,read_buff,0.279821,5.617999181818182,0.007698620328580631,5.613651,5.616192,5.617818
1,1,delta_gamma::LE::NoTable,read_unbuff,0.279821,7.373567181818181,0.0018755192250777368,7.371651,7.374317,7.374692
1,2,gamma::BE::NoTable,read_buff,0.607688,2.576102181818182,0.006641618730673749,2.571231,2.573772,2.577523
1,2,gamma::BE::NoTable,read_unbuff,0.607688,5.879537909090909,0.016245778346724728,5.868772,5.872731,5.886481
1,2,gamma::BE::Table,read_buff,0.607852,5.962507454545454,0.10467014465296552,5.889773,5.954189,6.028814
1,2,gamma::BE::Table,read_unbuff,0.607852,8.13598081818182,0.1524790606941281,8.020022,8.032064,8.246315
1,2,gamma::LE::NoTable,read_buff,0.608187,2.702416727272727,0.03821931600405985,2.671897,2.68194,2.721148
1,2,gamma::LE::NoTable,read_unbuff,0.608187,6.092087090909091,0.07795847749854352,6.010231,6.091814,6.142897
1,2,gamma::LE::Table,read_buff,0.60767,5.298091,0.2500524537304124,5.187397,5.273773,5.284398
1,2,gamma::LE::Table,read_unbuff,0.60767,7.913939363636363,0.1461619792868671,7.758064,7.911356,7.943231
1,2,zeta3::BE::NoTable,read_buff,0,9.384193181818182,0.39199091442731615,9.174565,9.191106,9.342856
1,2,zeta3::BE::NoTable,read_unbuff,0,9.678734818181816,1.178955636169132,9.281981,9.322106,9.364189
1,2,zeta3::BE::Table,read_buff,0,9.272689181818182,0.13125065677155165,9.173647,9.188939,9.363189
1,2,zeta3::BE::Table,read_unbuff,0,9.486147454545454,0.15590305508062613,9.371897,9.390647,9.672689
1,2,zeta3::LE::NoTable,read_buff,0,9.258511272727272,0.19944808797684235,9.097773,9.109314,9.380231
1,2,zeta3::LE::NoTable,read_unbuff,0,9.208416727272727,0.12574923216790698,9.109897,9.166565,9.196898
1,2,zeta3::LE::Table,read_buff,0,9.158087,0.17022147551528274,8.990189,9.183606,9.235106
1,2,zeta3::LE::Table,read_unbuff,0,9.396810545454548,0.21712415044225908,9.233147,9.265814,9.531315
1,2,delta::BE::Table,read_buff,0.279839,7.135571545454545,0.11139131154391141,7.021356,7.147272,7.238481
1,2,delta::BE::Table,read_unbuff,0.279839,9.248261181818181,0.13862751317528438,9.109522,9.196231,9.388356
1,2,delta::BE::NoTable,read_buff,0.279535,5.9704204545454544,0.0860224410550685,5.89619,5.905023,6.021481
1,2,delta::BE::NoTable,read_unbuff,0.279535,8.623875090909092,0.15616837431660424,8.484981,8.527856,8.750773
1,2,delta::LE::Table,read_buff,0.279248,6.662499818181819,0.1067620835379472,6.558814,6.616481,6.768773
1,2,delta::LE::Table,read_unbuff,0.279248,8.861208454545453,0.13428248043610405,8.727773,8.866606,8.961606
1,2,delta::LE::NoTable,read_buff,0.279839,5.425037727272727,0.09553270541243028,5.355231,5.359231,5.515231
1,2,delta::LE::NoTable,read_unbuff,0.279839,8.518814363636363,0.134979409161007,8.389315,8.487481,8.656147
1,2,delta_gamma::BE::Table,read_buff,0.279485,7.853645636363636,0.017161284359119115,7.844566,7.845649,7.848816
1,2,delta_gamma::BE::Table,read_unbuff,0.279485,8.365649727272727,0.035606236268639596,8.346608,8.348733,8.36415
1,2,delta_gamma::BE::NoTable,read_buff,0.280244,7.549229363636363,0.00897942668852221,7.539525,7.551817,7.553067
1,2,delta_gamma::BE::NoTable,read_unbuff,0.280244,8.907884636363637,0.01055841549923783,8.896025,8.909525,8.914691
1,2,delta_gamma::LE::Table,read_buff,0.279123,6.925960454545455,0.04172103951572556,6.906942,6.91365,6.921108
1,2,delta_gamma::LE::Table,read_unbuff,0.279123,7.771706454545456,0.013543427729815588,7.761608,7.772275,7.77865
1,2,delta_gamma::LE::NoTable,read_buff,0.279395,6.48992590909091,0.06877330632949759,6.465816,6.472024,6.475524
1,2,delta_gamma::LE::NoTable,read_unbuff,0.279395,8.638160909090908,0.01738864552203265,8.624774,8.629774,8.645108
2,1,gamma::BE::NoTable,read_buff,0.607127,2.5769136363636367,0.003138772794349133,2.574478,2.575645,2.577312
2,1,gamma::BE::NoTable,read_unbuff,0.607127,5.882762,0.00841037781553243,5.875312,5.879812,5.886603
2,1,gamma::BE::Table,read_buff,0.608232,5.602569090909091,0.02376192000430337,5.589478,5.592186,5.599395
2,1,gamma::BE::Table,read_unbuff,0.608232,8.343656272727273,0.03981927266560988,8.320895,8.326937,8.342353
2,1,gamma::LE::NoTable,read_buff,0.607907,2.5955765454545454,0.00782075220632437,2.590478,2.591437,2.593395
2,1,gamma::LE::NoTable,read_unbuff,0.607907,5.875243181818182,0.014138656009806535,5.863728,5.874228,5.879728
2,1,gamma::LE::Table,read_buff,0.607597,5.550890818181818,0.015949111497623743,5.537269,5.551895,5.554812
2,1,gamma::LE::Table,read_unbuff,0.607597,7.894713,0.05199493113564048,7.876228,7.880811,7.88252
2,1,zeta3::BE::NoTable,read_buff,0,9.193728,0.011975501851697195,9.18052,9.194603,9.202103
2,1,zeta3::BE::NoTable,read_unbuff,0,9.18053490909091,0.01893702011117132,9.164603,9.178811,9.18852
2,1,zeta3::BE::Table,read_buff,0,9.152497090909092,0.009877504355398027,9.142895,9.149312,9.158436
2,1,zeta3::BE::Table,read_unbuff,0,9.376345545454544,0.01469009634661128,9.361478,9.376103,9.387645
2,1,zeta3::LE::NoTable,read_buff,0,9.157280999999998,0.14420407245636307,9.098978,9.120978,9.122603
2,1,zeta3::LE::NoTable,read_unbuff,0,9.085038636363636,0.0811166248216386,9.048478,9.067062,9.068811
2,1,zeta3::LE::Table,read_buff,0,8.997841727272728,0.012462107479001712,8.994395,8.998395,9.002186
2,1,zeta3::LE::Table,read_unbuff,0,9.244432454545455,0.0459569601678867,9.207436,9.246937,9.256894
2,1,omega::BE::NoTable,read_buff,0.279288,7.725330363636363,0.052577352198969994,7.701645,7.703853,7.70752
2,1,omega::BE::NoTable,read_unbuff,0.279288,8.226747090909091,0.024509487915721648,8.211686,8.217645,8.219687
2,1,omega::BE::Table,read_buff,0.279738,8.719940363636363,0.024113283804876984,8.70527,8.71202,8.71352
2,1,omega::BE::Table,read_unbuff,0.279738,11.403152363636366,0.01863749301957083,11.388061,11.396978,11.406603
2,1,omega::LE::NoTable,read_buff,0.279843,7.568061272727273,0.007244964542230729,7.562311,7.567978,7.572061
2,1,omega::LE::NoTable,read_unbuff,0.279843,8.763591727272729,0.007474518982395014,8.756687,8.76452,8.76652
2,1,omega::LE::Table,read_buff,0.280021,8.354818999999999,0.02196915165408068,8.342061,8.348436,8.352437
2,1,omega::LE::Table,read_unbuff,0.280021,11.21804590909091,0.05063793900121641,11.197103,11.201311,11.203019
2,1,delta::BE::Table,read_buff,0.279897,7.166792454545454,0.01143734665351744,7.158062,7.163561,7.169519
2,1,delta::BE::Table,read_unbuff,0.279897,9.377841545454546,0.06917052249529926,9.352644,9.354269,9.355436
2,1,delta::BE::NoTable,read_buff,0.279592,6.067985272727274,0.1208498377707565,5.932394,6.082186,6.118769
2,1,delta::BE::NoTable,read_unbuff,0.279592,8.72680390909091,0.22079836343390571,8.530186,8.687437,8.798645
2,1,delta::LE::Table,read_buff,0.279201,7.209970454545454,0.03246517807548138,7.190478,7.197478,7.201436
2,1,delta::LE::Table,read_unbuff,0.279201,9.448296454545453,0.07247925506703787,9.387937,9.404228,9.49102
2,1,delta::LE::NoTable,read_buff,0.279031,5.5532544545454545,0.05148263896764357,5.52552,5.532936,5.559394
2,1,delta::LE::NoTable,read_unbuff,0.279031,8.68892490909091,0.04713924420364534,8.639978,8.669645,8.729312
2,1,delta_gamma::BE::Table,read_buff,0.279382,6.8905900909090905,0.01577235397430929,6.881984,6.884651,6.896193
2,1,delta_gamma::BE::Table,read_unbuff,0.279382,8.904923545454546,0.011975071885910656,8.890234,8.907151,8.911775
2,1,delta_gamma::BE::NoTable,read_buff,0.27908,5.908272090909091,0.015662683668225937,5.896401,5.904567,5.914109
2,1,delta_gamma::BE::NoTable,read_unbuff,0.27908,7.732487545454546,0.05754114594507784,7.710526,7.7144,7.721067
2,1,delta_gamma::LE::Table,read_buff,0.280149,6.510847545454546,0.009409807175108741,6.502193,6.511484,6.517276
2,1,delta_gamma::LE::Table,read_unbuff,0.280149,7.598188454545454,0.032654028065044687,7.566443,7.591151,7.606484
2,1,delta_gamma::LE::NoTable,read_buff,0.280489,5.650211181818182,0.013351665198155522,5.639526,5.645442,5.655275
2,1,delta_gamma::LE::NoTable,read_unbuff,0.280489,7.353279363636363,0.010825691167521127,7.347442,7.348651,7.355276
2,2,gamma::BE::NoTable,read_buff,0.608648,2.583934727272727,0.026351961984227693,2.570942,2.572068,2.584568
2,2,gamma::BE::NoTable,read_unbuff,0.608648,5.889215090909091,0.04259352011152536,5.871525,5.877151,5.881901
