max,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
2,1,unary::BE::NoTable,write,0.750367,3.4681714545454545,0.2343129227718197,3.250088,3.43138,3.502755
2,1,unary::BE::Table,write,0.74994,4.998057727272728,0.016478038172615648,4.982088,5.001505,5.006005
2,1,unary::LE::NoTable,write,0.750607,2.8557547272727275,0.004246090698299123,2.853588,2.853796,2.856588
2,1,unary::LE::Table,write,0.749889,5.043201727272726,0.0016919229941642212,5.041963,5.042546,5.044797
2,1,gamma::BE::NoTable,write,0.759254,7.759364454545455,0.007664496504841696,7.753421,7.754921,7.763421
2,1,gamma::BE::Table,write,0.760035,4.831012272727272,0.0042464750579960745,4.827422,4.829338,4.832546
2,1,gamma::LE::NoTable,write,0.760097,7.427118181818182,0.010210646040463588,7.422255,7.42313,7.423421
2,1,gamma::LE::Table,write,0.760305,4.7683076363636365,0.011008951532936555,4.756379,4.766463,4.776672
2,1,zeta3::BE::NoTable,write,0.256255,11.583444090909092,0.014500258324971604,11.572338,11.575963,11.58813
2,1,zeta3::BE::Table,write,0.256671,10.528398636363637,0.01032557828184672,10.51813,10.526338,10.52963
2,1,zeta3::LE::NoTable,write,0.256796,11.348410181818181,0.019145653505786644,11.335672,11.344171,11.347796
2,1,zeta3::LE::Table,write,0.25629,10.27926590909091,0.01584282588084923,10.270213,10.273504,10.280213
2,1,delta::BE::Table,write,0.378885,9.843152636363639,0.019941870254681273,9.830713,9.835797,9.842255
2,1,delta::BE::NoTable,write,0.3784,12.52310327272727,0.015330231812278997,12.510671,12.51563,12.534921
2,1,delta::LE::Table,write,0.378473,9.602834,0.024141995580316093,9.589588,9.591504,9.593838
2,1,delta::LE::NoTable,write,0.379118,12.133978,0.0884629966110125,12.051129,12.184046,12.191754
2,1,delta_gamma::BE::Table,write,0.378973,7.300016363636364,0.010736402016250377,7.291888,7.295762,7.306637
2,1,delta_gamma::BE::NoTable,write,0.378949,7.241304454545454,0.014031915709293899,7.233513,7.235638,7.240804
2,1,delta_gamma::LE::Table,write,0.378331,7.104429272727272,0.0137510951134148,7.095763,7.098138,7.101471
2,1,delta_gamma::LE::NoTable,write,0.37855,7.158327181818182,0.005947036216774941,7.15143,7.158638,7.161179
2,2,unary::BE::NoTable,write,0.749717,3.3557853636363633,0.17393527203662437,3.198138,3.327846,3.484846
2,2,unary::BE::Table,write,0.749301,4.987702090909091,0.03296018502816547,4.969013,4.970263,4.975054
2,2,unary::LE::NoTable,write,0.749737,2.87977390909091,0.033730219490701666,2.865846,2.866721,2.868846
2,2,unary::LE::Table,write,0.750219,4.8678385454545445,0.0188734978123487,4.856763,4.859012,4.868346
2,2,gamma::BE::NoTable,write,0.760632,7.695202,0.012358051084212352,7.683054,7.694971,7.700888
2,2,gamma::BE::Table,write,0.759782,4.864997272727273,0.008287605071320665,4.860512,4.864471,4.865262
2,2,gamma::LE::NoTable,write,0.759951,7.194599454545455,0.010304547252195316,7.187179,7.193637,7.199846
2,2,gamma::LE::Table,write,0.75935,4.742755181818183,0.022672313136590974,4.733179,4.736096,4.736388
2,2,zeta3::BE::NoTable,write,0.257191,11.621645454545453,0.012218334815870887,11.611388,11.615721,11.626179
2,2,zeta3::BE::Table,write,0.257077,10.486830818181819,0.021633916579381487,10.465429,10.48118,10.506596
2,2,zeta3::LE::NoTable,write,0.256527,11.332201999999999,0.015460258154377682,11.321888,11.327637,11.330971
