n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,1,gamma::BE::NoTable,read_buff,0.60783,4.400304545454546,0.01572599487068231,4.390885,4.400652,4.403205
1,1,gamma::BE::NoTable,read_unbuff,0.60783,5.384760636363636,0.0198409686319631,5.379132,5.384109,5.392495
1,1,gamma::BE::Table,read_buff,0.607975,5.532015818181818,0.003416967539154631,5.529192,5.530487,5.534486
1,1,gamma::BE::Table,read_unbuff,0.607975,6.519207363636364,0.014685802077331257,6.509202,6.524754,6.527418
1,1,gamma::LE::NoTable,read_buff,0.607633,4.121196818181819,0.029536581050684216,4.100415,4.111732,4.137617
1,1,gamma::LE::NoTable,read_unbuff,0.607633,4.923300636363637,0.02242639033938683,4.90708,4.919331,4.927087
1,1,gamma::LE::Table,read_buff,0.608103,5.531852090909091,0.0034488772797692958,5.529423,5.533134,5.534142
1,1,gamma::LE::Table,read_unbuff,0.608103,6.003555454545453,0.021137415879731777,5.988983,6.008398,6.015222
1,1,zeta3::BE::NoTable,read_buff,0,8.221300818181819,0.017690894425201765,8.213171,8.224379,8.229073
1,1,zeta3::BE::NoTable,read_unbuff,0,8.954436363636361,0.03398958426422028,8.935483,8.956827,8.963729
1,1,zeta3::BE::Table,read_buff,0,8.366951545454546,0.02545976333889869,8.34609,8.366345,8.384867
1,1,zeta3::BE::Table,read_unbuff,0,8.895565,0.0254687188605943,8.881652,8.890831,8.912806
1,1,zeta3::LE::NoTable,read_buff,0,7.853714272727273,0.029053299496239398,7.831475,7.862998,7.869249
1,1,zeta3::LE::NoTable,read_unbuff,0,8.35231590909091,0.031510934830482444,8.329692,8.348993,8.373802
1,1,zeta3::LE::Table,read_buff,0,8.105461,0.015656604657460108,8.097083,8.105745,8.108386
1,1,zeta3::LE::Table,read_unbuff,0,8.405120636363637,0.018292184419979506,8.393515,8.401573,8.402975
1,1,delta::BE::Table,read_buff,0.279375,7.243283818181819,0.02096597309364938,7.225714,7.239811,7.256946
